simulation_id,average_time_in_G1,effective_g1_sample_size,eta,final_cell_count,final_timestep,num_deaths,num_divisions,seed,status
603,47.733988638442085,714,2.8000000000000003,1000,419.42581203704356,52,988,1206,2
604,44.816460979259,668,2.8000000000000003,1000,411.01085920355865,40,976,1208,2
605,48.068799725106466,728,2.8000000000000003,1000,421.96591006724793,53,989,1210,2
606,46.345779073008366,697,2.8000000000000003,1000,407.30887422728665,41,977,1212,2
607,47.68952847140067,734,2.8000000000000003,1000,406.20740399171825,50,986,1214,2
608,45.79337236433449,700,2.8000000000000003,1000,410.06315954651524,41,977,1216,2
609,49.844078382412256,718,2.8000000000000003,1000,441.06666741759204,53,989,1218,2
610,45.2848094032617,667,2.8000000000000003,1000,404.5260947033492,42,978,1220,2
611,48.82022113805507,747,2.8000000000000003,1000,429.65635555631707,68,1004,1222,2
612,48.338768392372096,714,2.8000000000000003,1000,418.2050805868177,42,978,1224,2
613,45.99043053307698,730,2.8000000000000003,1000,420.07609122650564,41,977,1226,2
614,43.891480815420714,664,2.8000000000000003,1000,395.2712247081943,40,976,1228,2
615,47.36343988580004,689,2.8000000000000003,1000,413.2856975715306,32,968,1230,2
616,49.59670168470817,743,2.8000000000000003,1000,434.5954020899003,56,992,1232,2
617,49.002291318821165,709,2.8000000000000003,1000,430.4166281954485,47,983,1234,2
618,48.17788018000122,730,2.8000000000000003,1000,415.64615599862685,46,982,1236,2
619,46.00486149708378,695,2.8000000000000003,1000,414.3224450368577,40,976,1238,2
620,46.26492378281341,686,2.8000000000000003,1000,414.64054221968945,34,970,1240,2
621,46.4772695535052,685,2.8000000000000003,1000,412.51435901041634,35,971,1242,2
622,47.60758052497117,719,2.8000000000000003,1000,426.45166655270214,54,990,1244,2
623,50.706380247108164,718,2.8000000000000003,1000,449.13745779338944,63,999,1246,2
624,48.73595296206194,724,2.8000000000000003,1000,427.04103839324466,49,985,1248,2
625,43.895039620872154,681,2.8000000000000003,1000,404.3065338951314,36,972,1250,2
626,48.840185308180594,716,2.8000000000000003,1000,422.3644789157526,53,989,1252,2
627,47.897820156278996,683,2.8000000000000003,1000,414.3058399962963,39,975,1254,2
628,45.33240268195256,705,2.8000000000000003,1000,411.5900049106174,35,971,1256,2
629,46.92970270086002,696,2.8000000000000003,1000,412.6859421066001,46,982,1258,2
630,46.00986683881762,726,2.8000000000000003,1000,404.3833731006268,46,982,1260,2
631,48.0316795783619,674,2.8000000000000003,1000,414.6986218362023,38,974,1262,2
632,49.10067149273141,711,2.8000000000000003,1000,427.1696116504213,47,983,1264,2
633,45.756779551920886,681,2.8000000000000003,1000,403.86503986422764,37,973,1266,2
634,42.99622516550749,704,2.8000000000000003,1000,400.0869811789842,34,970,1268,2
635,47.33174297860468,693,2.8000000000000003,1000,413.2861672198416,38,974,1270,2
636,46.069964578261725,660,2.8000000000000003,1000,406.0952747153394,35,971,1272,2
637,47.80729658088313,701,2.8000000000000003,1000,412.93665051186326,53,989,1274,2
638,47.539871272927485,713,2.8000000000000003,1000,421.73856446833565,43,979,1276,2
639,46.12068273840861,739,2.8000000000000003,1000,399.3846844144685,48,984,1278,2
640,46.264679868907656,690,2.8000000000000003,1000,411.0078267378166,44,980,1280,2
641,49.04464060314816,698,2.8000000000000003,1000,421.29707075694955,42,978,1282,2
642,47.10842933386886,704,2.8000000000000003,1000,414.54473724409297,48,984,1284,2
643,48.34141236626147,721,2.8000000000000003,1000,426.6505706756882,48,984,1286,2
