,t,G1_cell_count,G2_cell_count
4817,5789.442063587864,19,5
4818,5790.858380088873,18,6
4819,5793.205651721043,17,7
4820,5794.131532232898,16,7
4821,5801.1650110462115,15,8
4822,5803.066287072449,14,9
4823,5803.839536522735,13,10
4824,5804.031359736742,12,11
4825,5804.646283465606,11,11
4826,5804.681627878279,10,12
4827,5805.125098418058,9,12
4828,5805.138339450161,8,13
4829,5806.3897873917185,7,13
4830,5806.568690055453,6,13
4831,5808.7173054139475,5,13
4832,5810.81748615306,4,13
4833,5812.423930669373,3,13
4834,5812.46495482072,1,13
4835,5812.6391420914715,0,13
4836,5821.595596486982,2,12
4837,5829.620425803645,4,11
4838,5835.465381571481,2,11
4839,5838.234407735783,4,10
4840,5839.126050627278,6,9
4841,5839.442063587864,8,8
4842,5840.858380088873,10,7
4843,5843.205651721043,12,6
4844,5849.4331208874755,10,6
4845,5851.1650110462115,12,5
4846,5853.066287072449,14,4
4847,5853.839536522735,16,3
4848,5854.031359736742,18,2
4849,5854.681627878279,20,1
4850,5855.138339450161,22,0
4851,5871.857993729012,21,1
4852,5873.902412821822,20,2
4853,5874.226083129927,19,3
4854,5878.371353026489,18,4
4855,5879.507737580952,17,5
4856,5879.634550328599,16,6
4857,5881.866621242308,15,7
4858,5883.25202040593,14,8
4859,5884.155351139856,13,9
4860,5884.188812313946,12,10
4861,5884.406972377913,11,11
4862,5886.594545649328,10,12
4863,5890.1801603221265,9,13
4864,5891.225156085309,8,14
4865,5891.310771754502,7,14
4866,5892.3898700409845,6,14
4867,5893.588998028673,5,15
4868,5897.432127655862,4,15
4869,5898.145106165701,3,15
4870,5898.387539292868,1,15
4871,5898.455988570924,0,15
4872,5921.857993729012,2,14
4873,5923.902412821822,4,13
4874,5924.226083129927,6,12
4875,5928.371353026489,8,11
4876,5929.507737580952,10,10
4877,5929.634550328599,12,9
4878,5931.866621242308,14,8
4879,5933.25202040593,16,7
4880,5934.155351139856,18,6
4881,5934.188812313946,20,5
4882,5934.406972377913,22,4
4883,5936.594545649328,24,3
4884,5940.1801603221265,26,2
4885,5941.225156085309,28,1
4886,5943.588998028673,30,0
4887,5958.994907051844,29,1
4888,5960.111549839652,28,2
4889,5960.187741576713,27,3
4890,5964.222178352026,26,4
4891,5966.930776559618,25,5
4892,5968.671012774803,24,6
4893,5968.876508802505,23,7
4894,5971.582596553397,22,8
4895,5973.382167067924,21,9
4896,5978.085171492686,20,10
4897,5982.330540567428,19,10
4898,5983.021591849031,18,11
4899,5983.700031001565,17,12
4900,5984.378644698706,16,13
4901,5986.780496500236,15,14
4902,5987.268208736785,14,15
4903,5987.593315267051,13,16
4904,5988.794914469699,12,17
4905,5989.066832236192,10,17
4906,5990.231021663082,9,17
4907,5991.637710482406,8,18
4908,5991.704215363001,7,18
4909,5992.407910176269,6,18
4910,5992.713210857261,5,19
4911,5992.771912241206,4,19
4912,5992.834645837826,3,19
4913,5993.056472297959,2,20
4914,5993.213249470431,1,20
4915,5993.788804260487,0,20
4916,6008.994907051844,2,19
4917,6010.111549839652,4,18
4918,6010.187741576713,6,17
4919,6014.222178352026,8,16
4920,6016.930776559618,10,15
4921,6018.671012774803,12,14
4922,6018.876508802505,14,13
4923,6021.582596553397,16,12
4924,6023.382167067924,18,11
4925,6028.085171492686,20,10
4926,6030.02507808144,18,10
4927,6032.889266832168,16,10
